Item,Date,DateTime,Timestamp,Reference_Price,Bid_Depth,Ask_Depth,Percentage
EIGENUSDT,2024-12-24,2024-12-24 17:08:23.271000+03:30,1735047503271,3.89,7512.016,7254.924,0.0
ENAIRT,2024-12-24,2024-12-24 17:08:23.768000+03:30,1735047503768,847990.0,16767.96,7654.139999999999,0.0
ENAUSDT,2024-12-24,2024-12-24 17:08:23.158000+03:30,1735047503158,1.079,20601.58,20525.18,0.0
ENJIRT,2024-12-24,2024-12-24 17:08:23.671000+03:30,1735047503671,190500.0,150278.0,152153.0,0.0
ENJUSDT,2024-12-24,2024-12-24 17:08:23.088000+03:30,1735047503088,0.2388,150637.0,146698.0,0.0
ENSIRT,2024-12-24,2024-12-24 17:08:23.685000+03:30,1735047503685,29100050.0,586.3299999999999,333.53,0.0
ENSUSDT,2024-12-24,2024-12-24 17:08:23.109000+03:30,1735047503109,36.84,944.59,307.82,0.0
EOSIRT,2024-12-24,2024-12-24 17:08:23.660000+03:30,1735047503660,677000.0,12252.41,5400.79,0.0
EOSUSDT,2024-12-24,2024-12-24 17:08:23.009000+03:30,1735047503009,0.8559,18188.71,22918.75,0.0
ETCIRT,2024-12-24,2024-12-24 17:08:23.693000+03:30,1735047503693,21750020.0,504.57,436.54999999999995,0.0
ETCUSDT,2024-12-24,2024-12-24 17:08:23.043000+03:30,1735047503043,27.65,1042.12,1044.3,0.0
ETHFIIRT,2024-12-24,2024-12-24 17:08:23.850000+03:30,1735047503850,1657700.0,11733.532,11764.751,0.0
ETHFIUSDT,2024-12-24,2024-12-24 17:08:23.235000+03:30,1735047503235,2.07,12008.677,12753.771,0.0
ETHIRT,2024-12-24,2024-12-24 17:08:23.544000+03:30,1735047503544,2717950000.0,3.10555,2.59894,0.0
ETHUSDT,2024-12-24,2024-12-24 17:08:23.857000+03:30,1735047503857,3439.8,4.63631,6.63298,0.0
FETIRT,2024-12-24,2024-12-24 17:08:23.790000+03:30,1735047503790,1085100.0,10664.94,13043.86,0.0
FETUSDT,2024-12-24,2024-12-24 17:08:23.182000+03:30,1735047503182,1.3844,12375.84,8711.32,0.0
FILIRT,2024-12-24,2024-12-24 17:08:23.576000+03:30,1735047503576,4190020.0,3074.432,2165.761,0.0
FILUSDT,2024-12-24,2024-12-24 17:08:23.009000+03:30,1735047503009,5.32,2502.437,3268.373,0.0
FLOWIRT,2024-12-24,2024-12-24 17:08:23.527000+03:30,1735047503527,619990.0,44988.866,34941.702000000005,0.0
FLOWUSDT,2024-12-24,2024-12-24 17:08:23.117000+03:30,1735047503117,0.779,44695.311,43578.962999999996,0.0
FTMIRT,2024-12-24,2024-12-24 17:08:23.668000+03:30,1735047503668,765270.0,30757.0,13886.0,0.0
FTMUSDT,2024-12-24,2024-12-24 17:08:23.057000+03:30,1735047503057,0.9658,10935.0,21694.0,0.0
GIRT,2024-12-24,2024-12-24 17:08:23.847000+03:30,1735047503847,25630.0,601572.9,416850.30000000005,0.0
GLMIRT,2024-12-24,2024-12-24 17:08:23.562000+03:30,1735047503562,295070.0,76395.92,56370.16,0.0
GLMUSDT,2024-12-24,2024-12-24 17:08:23.148000+03:30,1735047503148,0.3735,73015.78,76406.77,0.0
GMTIRT,2024-12-24,2024-12-24 17:08:23.601000+03:30,1735047503601,111060.0,106851.0,118363.0,0.0
GMTUSDT,2024-12-24,2024-12-24 17:08:23.009000+03:30,1735047503009,0.139,253092.0,280748.0,0.0
GMXIRT,2024-12-24,2024-12-24 17:08:23.735000+03:30,1735047503735,23671900.0,1310.9975,1211.9278,0.0
GMXUSDT,2024-12-24,2024-12-24 17:08:23.269000+03:30,1735047503269,29.77,1157.4253,1173.1808,0.0
GRTIRT,2024-12-24,2024-12-24 17:08:23.684000+03:30,1735047503684,180820.0,94884.0,50066.0,0.0
GRTUSDT,2024-12-24,2024-12-24 17:08:23.080000+03:30,1735047503080,0.23,156677.0,77425.0,0.0
GUSDT,2024-12-24,2024-12-24 17:08:23.212000+03:30,1735047503212,0.03211,678518.9,609266.4,0.0
HBARIRT,2024-12-24,2024-12-24 17:08:23.629000+03:30,1735047503629,252000.0,33450.0,55319.0,0.0
HBARUSDT,2024-12-24,2024-12-24 17:08:23.047000+03:30,1735047503047,0.31682,48798.0,65563.0,0.0
HMSTRIRT,2024-12-24,2024-12-24 17:08:22.991000+03:30,1735047502991,2491.0,2501997.0,4154445.0,0.0
HMSTRUSDT,2024-12-24,2024-12-24 17:08:23.256000+03:30,1735047503256,0.0031597,4854082.0,3910486.0,0.0
HOTIRT,2024-12-24,2024-12-24 17:08:23.743000+03:30,1735047503743,2050.0,4643391.0,7470214.0,0.0
HOTUSDT,2024-12-24,2024-12-24 17:08:23.275000+03:30,1735047503275,0.002554,10703007.0,11141965.0,0.0
IMXIRT,2024-12-24,2024-12-24 17:08:23.718000+03:30,1735047503718,1158600.0,18100.010000000002,23285.05,0.0
IMXUSDT,2024-12-24,2024-12-24 17:08:23.130000+03:30,1735047503130,1.48,23455.06,23077.46,0.0
JASMYIRT,2024-12-24,2024-12-24 17:08:23.855000+03:30,1735047503855,28920.0,404081.5,204847.1,0.0
JASMYUSDT,2024-12-24,2024-12-24 17:08:23.228000+03:30,1735047503228,0.036052,801362.4,755253.1,0.0
JSTIRT,2024-12-24,2024-12-24 17:08:23.706000+03:30,1735047503706,31660.0,669175.5,326419.3,0.0
JSTUSDT,2024-12-24,2024-12-24 17:08:23.254000+03:30,1735047503254,0.04001,838668.7,970100.8,0.0
LDOIRT,2024-12-24,2024-12-24 17:08:23.558000+03:30,1735047503558,1453800.0,7191.6179999999995,14514.8623,0.0
LDOUSDT,2024-12-24,2024-12-24 17:08:23.143000+03:30,1735047503143,1.84,15051.654,12151.3216,0.0
LINKIRT,2024-12-24,2024-12-24 17:08:23.586000+03:30,1735047503586,19303240.0,279.219,1033.4850000000001,0.0
LINKUSDT,2024-12-24,2024-12-24 17:08:22.974000+03:30,1735047502974,24.476,782.707,1014.487,0.0
LPTIRT,2024-12-24,2024-12-24 17:08:23.546000+03:30,1735047503546,15050070.0,1469.3,546.3,0.0
LPTUSDT,2024-12-24,2024-12-24 17:08:23.136000+03:30,1735047503136,19.35,1880.8,1559.6,0.0
LRCIRT,2024-12-24,2024-12-24 17:08:23.639000+03:30,1735047503639,174460.0,161315.0,164592.0,0.0
LRCUSDT,2024-12-24,2024-12-24 17:08:23.069000+03:30,1735047503069,0.2166,123939.0,128767.0,0.0
LTCIRT,2024-12-24,2024-12-24 17:08:23.569000+03:30,1735047503569,85600000.0,126.48496,96.45908,0.0
LTCUSDT,2024-12-24,2024-12-24 17:08:23+03:30,1735047503000,108.56,223.43576000000002,189.16973,0.0
MAGICIRT,2024-12-24,2024-12-24 17:08:23.721000+03:30,1735047503721,362480.0,65952.74,15741.087,0.0
MAGICUSDT,2024-12-24,2024-12-24 17:08:23.258000+03:30,1735047503258,0.4598,74615.07,74326.30500000001,0.0
MAJORIRT,2024-12-24,2024-12-24 17:08:23.778000+03:30,1735047503778,493700.0,8698.07,16932.42,0.0
MAJORUSDT,2024-12-24,2024-12-24 17:08:23.166000+03:30,1735047503166,0.622614,32481.37,37002.75,0.0
MANAIRT,2024-12-24,2024-12-24 17:08:23.528000+03:30,1735047503528,421000.0,38277.0,24783.0,0.0
MANAUSDT,2024-12-24,2024-12-24 17:08:23.104000+03:30,1735047503104,0.532,65883.0,68132.0,0.0
MASKIRT,2024-12-24,2024-12-24 17:08:23.624000+03:30,1735047503624,2508500.0,4118.6,4636.9,0.0
MASKUSDT,2024-12-24,2024-12-24 17:08:23.055000+03:30,1735047503055,3.165,10700.9,6979.1,0.0
MDTIRT,2024-12-24,2024-12-24 17:08:23.809000+03:30,1735047503809,48550.0,216275.90000000002,230371.7,0.0
